navigation_label,frontend_route,route_name,frontend_component,primary_frontend_api,backend_api_prefix,backend_resource_or_action,notes
Project Management Center,/configuration/project-center,ConfigProjectCenter,views/unified-projects/Dashboard.vue,/meta-projects/,/api/meta-projects/,Unified project resources,Configuration default route redirects here
AI Generation Model Config,/configuration/ai-gen/config-model,ConfigAIGenModel,views/requirement-analysis/AIModelConfig.vue,/requirement-analysis/ai-gen/models/,/api/requirement-analysis/ai-gen/models/,AIModelConfigViewSet,CRUD and test_connection action
AI Generation Prompt Config,/configuration/ai-gen/config-prompt,ConfigAIGenPrompt,views/requirement-analysis/PromptConfig.vue,/requirement-analysis/ai-gen/prompts/,/api/requirement-analysis/ai-gen/prompts/,PromptConfigViewSet,CRUD and load_defaults action
AI Generation Parameter Config,/configuration/ai-gen/config-param,ConfigAIGenParam,views/requirement-analysis/GenerationConfigView.vue,/requirement-analysis/ai-gen/params/,/api/requirement-analysis/ai-gen/params/,GenerationConfigViewSet,CRUD and enable action
Knowledge Base Config,/configuration/knowledge-base,ConfigKnowledgeBase,views/configuration/KnowledgeBaseConfig.vue,/knowledge-base/configs/,/api/knowledge-base/,Knowledge base configuration,Uses knowledge base module API
UI Environment Config,/configuration/ui-setting,ConfigUISetting,views/configuration/UIEnvironmentConfig.vue,/ui-setting/check/;/ui-setting/install_driver/,/api/ui-setting/,Environment check and driver installation,Aliases to UI automation EnvironmentConfigViewSet actions
API Automation Environment,/configuration/env-setting,ConfigEnvironmentSetting,views/api-automation/Workspace.vue,/api-automation/configurations/;/api-automation/setting/,/api/api-automation/;/api/env/,ApiAutomationConfigurationViewSet,env is an API alias
Application Environment,/configuration/app-setting,ConfigAppSetting,views/app-automation/settings/AppSettings.vue,/app-setting/check/;/app-setting/save/,/api/app-setting/,AppConfigViewSet current/save actions,Configuration alias endpoints
AI Intelligent Test Model Config,/configuration/ai-test/config-model,ConfigAITestModel,views/configuration/AIIntelligentModeConfig.vue,/ai-test/models/,/api/ai-test/models/;/api/ai-testing/models/,AIIntelligentModelConfigViewSet,ai-testing is the primary module prefix and ai-test is the configuration alias
AI Intelligent Test Prompt Config,/configuration/ai-test/config-prompt,ConfigAITestPrompt,views/configuration/AIModePromptConfig.vue,/ai-test/prompts/,/api/ai-test/prompts/;/api/ai-testing/prompts/,AIModePromptConfigViewSet,Configuration prompt CRUD and defaults
AI Agent Model Config,/configuration/ai-agent/config-model,ConfigAIAgentModel,views/configuration/AgentModelConfig.vue,/ai-agent/models/,/api/ai-agent/models/;/api/assistant/models/,AgentModelConfigViewSet,ai-agent is an alias of assistant configuration routes
AI Agent Prompt Config,/configuration/ai-agent/config-prompt,ConfigAIAgentPrompt,views/configuration/AgentPromptConfig.vue,/ai-agent/prompts/,/api/ai-agent/prompts/;/api/assistant/prompts/,AgentPromptConfigViewSet,Chat and Agent prompt configuration
Notification Config,/configuration/notify,ConfigScheduledTask,views/ui-automation/notification/NotificationConfigs.vue,/core/notification-configs/;/core/notification-templates/;/api-testing/users/,/api/core/;/api/,UnifiedNotificationConfigViewSet; NotificationTemplateViewSet; UserViewSet,Message notification configuration
